,text,Filename,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Num_Words,label,Trust,error,Pid1,Pid2,ER_Pid,ER_language,ER_gender,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,reading_ease,fernandez_huertta,syble,gunning,inse,automated,freq_complex_word,difficult,dale,coleman,smog,kincaid,flesch,freq_long_word,Polysyllable_count,sent_count,i,Pronoun,Ipron,Article,Conj,Adj,Interrog,Drives,Bio,Health,nonflu,Affiliation,Achieve,Focuspresent,Relativ,Space,prob_rf_f,prob_rf_t,prob_gau_f,prob_gau_t
0,ok what is the most you have ever spent on a pair of shoes,p298p299-part2_ch1_306.232050_313.160640_q15_T_T,6.928594104,74.81403219,384.6354895,246.4811742,70.165237,256.1617787,283.4390476,0.28011611,33.60107482,74.24981822,61.98601228,12.97584055,41.00663662,0.021240326,0.071341737,12.4114545,2.020611944,14,0,TRUE,1,298,299,299,English,Female,1.3,-0.9063,0.0412,0.8642,0.4992,1.0295,-0.659,-1.5226,0.0161,0.2275,-0.3045,0.7216,-1.6666,-0.1033,-0.3136,-0.4448,-0.9519,14,99.57,126.6,15,5.6,6,0.7,0.69,0,0.69,0.75,0,2.9,99.57,0,0,1,0,0.142857143,0.071428571,0.142857143,0,0.071428571,0.071428571,0,0.071428571,0,0,0,0,0.142857143,0.142857143,0.071428571,0.26,0.74,0.34,0.66
1,do they argue a lot,p206p207-part1_ch2_43.174150_44.281120_q4_F_F,1.106961451,109.9453117,254.4922099,204.5038781,25.70737035,205.7962819,443.4395441,0.822429907,33.53323963,66.35872304,61.54291707,7.640620942,61.31607119,0.018958442,0.076270329,17.31751709,4.516869123,5,1,FALSE,1,206,207,206,English,Female,-0.4457,-0.0869,-0.7146,0.0537,-0.7326,0.1048,-0.3196,1.1436,0.0099,-0.699,-0.3609,-0.5903,0.2032,-0.2845,-0.1783,0.7104,0.7474,5,100.24,129.8,6,2,1.5,-4.9,7.04,1,7.04,-4.33,0,0.5,100.24,0,0,1,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.71,0.29,0.50,0.50
2,have you ever stayed overnight in a hospital as a patient,p418p419-part1_ch2_227.768020_231.634000_q7_F_T,3.865986395,75.84439457,583.536883,105.2176035,79.63167327,90.41368214,398.4506673,0.590078329,36.98844659,90.72418591,76.32136409,10.36634355,73.23140161,0.025466331,0.113474482,13.64846374,2.845328172,11,0,TRUE,1,418,419,418,English,Male,0.3335,-0.3512,1.5616,-0.4834,1.0362,-0.5536,-0.13,0.2155,0.4181,2.234,1.5655,-0.0169,1.3637,-0.3882,0.2831,0.4162,-0.4225,11,77.23,111.6,15,4.4,5.5,4.2,5.62,1,5.62,6.3,0,5.2,77.23,0.272727273,1,1,0,0.090909091,0,0.181818182,0.090909091,0.090909091,0,0,0.090909091,0.090909091,0,0,0,0.090909091,0.272727273,0.181818182,0.15,0.85,0.37,0.63
3,no like at have you ever like had the opp- does does the idea of going ice skating appeal to you i guess,p438p439-part1_ch2_1510.236620_1516.730610_q18_F_T,6.49399093,104.2694793,558.5357227,141.7901441,32.75176599,138.5947622,318.063535,0.704334365,32.59872301,79.69623523,69.71824541,11.10290595,66.26998971,0.015300802,0.081815171,15.49995655,3.541735775,23,0,TRUE,1,438,439,438,English,Male,1.1215,0.3118,1.4164,0.2227,-0.2627,0.331,-0.3005,0.7773,0.0184,0.9392,0.7243,0.1642,0.7228,-1.1955,-0.5862,0.8522,0.0515,23,81.97,111.4,27,9.2,11.5,6.9,6.15,2,6.15,3.43,0,7.5,81.97,0.041666667,0,1,0.04166667,0.125,0,0.083333333,0,0,0,0,0,0,0,0,0,0.208333333,0.125,0.041666667,0.17,0.83,0.42,0.58
4,oh so are you a student at columbia,p470p471-part2_ch1_86.887040_89.359190_q2_T_F,2.472154195,192.646611,558.7508768,255.5167742,76.68609149,226.3917995,622.375805,0.631147541,31.8728679,73.75924128,65.65612807,11.35905358,62.97843514,0.014852129,0.080735289,12.77697986,3.236044101,8,1,FALSE,1,470,471,471,English,Female,-0.0363,1.842,1.0522,1.0386,0.6799,0.4829,0.0599,0.2032,-0.1413,0.1699,0.163,0.3241,0.3563,-0.6107,-0.0557,-0.3587,-0.1245,8,80.28,114.7,11,8.2,4,-1,7.98,2,7.98,0.65,0,4.1,80.28,0.25,1,1,0,0.125,0,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0.125,0.125,0.125,0.82,0.18,0.31,0.69
5,yeah,p212p213-part2_ch1_1019.779980_1020.119980_q23_F_T,0.34,199.3597272,245.6474811,222.2101511,13.81899222,221.3822218,499.4154905,0.838709677,32.74635914,65.9834447,61.65141873,8.449670697,59.45787872,0.028315513,0.094256041,15.19838434,2.941176471,1,0,TRUE,1,212,213,213,English,Female,-0.6756,1.9986,-0.7659,0.3956,-1.062,0.3909,-0.2009,1.2237,-0.0618,-0.743,-0.3471,-0.3914,0.0321,0.4586,0.3156,0.2114,-0.3252,1,121.22,145.8,1,0.4,-0.5,-2.2,0.05,0,0.05,-22.21,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.96,0.55,0.45
6,was it just because they did a really bad job with the bending in that movie,p324p325-part1_ch2_599.127790_603.657790_q17_T_T,4.53,79.54819088,570.0598121,197.6623849,51.72603472,193.9321718,560.7838966,0.722222222,29.71170114,82.26096736,71.96422244,11.89447868,68.25324393,0.018389264,0.080794381,17.02218879,3.53200883,16,0,TRUE,1,324,325,324,English,Female,0.5808,-0.7958,1.1179,-0.0784,-0.0117,-0.113,-0.0708,0.651,-0.3381,1.1681,0.9666,0.4557,0.8419,-0.3297,-0.0541,0.6408,0.077,16,80.62,112.5,20,6.4,8,4.5,5.42,1,5.42,4.52,0,6,80.62,0.125,1,1,0,0.1875,0.125,0.125,0.0625,0,0,0.0625,0,0,0,0,0,0,0.125,0.125,0.06,0.94,0.40,0.60
7,what was it about,p532p533-part1_ch2_266.204030_266.803230_q17_T_T,0.599206349,128.8444158,150.0094421,135.8994635,4.484326292,135.2931395,147.2958118,0.892857143,57.40351489,72.86959991,70.72772679,3.804566429,71.03538107,0.017638036,0.138371329,16.65460024,6.675496689,4,0,TRUE,1,532,533,532,English,Male,-0.6461,0.8849,-0.9558,0.1089,-1.0459,0.2704,-0.6627,1.7041,2.2771,0.1377,0.8529,-1.6305,1.1615,-1.0099,0.9668,1.124,2.1848,4,118.18,142.8,4,1.6,1,-3,0.2,0,0.2,-2.91,0,-2.3,118.18,0,0,1,0,0.5,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.3,0.7,0.55,0.45
8,why not,p304p305-part1_ch2_747.918470_748.443460_q10_F_F,0.524988662,88.34646576,212.1069831,170.1718608,21.64655007,175.1472818,531.9514067,0.897959184,40.92220001,73.36301861,70.04817738,6.808329878,70.14212884,0.016408806,0.061695533,15.38048349,3.809606082,2,1,FALSE,1,304,305,304,English,Female,-0.6202,-0.5906,-0.9607,-0.6091,-0.8451,-0.4579,-0.1319,1.5149,0.6827,0.1234,0.7225,-0.795,1.0158,-0.487,-0.5785,0.2543,0.2659,2,120.21,144.8,2,0.8,0,-6.4,0.1,0,0.1,-13.21,0,-3.1,120.21,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.31,0.69,0.61,0.39
9,do you live in the quad,p318p319-part2_ch1_677.819840_678.919840_q20_T_F,1.1,116.6799294,213.5297254,179.0094255,23.82046473,185.9015617,308.5740805,0.719626168,49.01791872,81.86850076,74.39618218,9.189936105,69.40855988,0.018236327,0.074329283,15.81310256,5.454545455,6,1,FALSE,1,318,319,319,English,Female,-0.4477,0.0702,-0.9524,-0.4385,-0.7849,-0.2604,-0.6057,0.6382,1.4199,1.1221,1.2764,-0.2093,0.9483,-0.3419,-0.2316,0.3561,1.3857,6,116.15,140.7,6,2.4,2,-4.4,0.3,0,0.3,-3.44,0,-1.5,116.15,0,0,1,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0.166666667,0,0,0,0.333333333,0.166666667,0.166666667,0.82,0.18,0.55,0.45
