,X,Filename,text,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Num_Words,Trust,Pid1,Pid2,ER_Pid,ER_gender,ER_language,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,freq_long_word,freq_complex_word,reading_ease,Polysyllable_count,sent_count,fernandez_huertta,syble,gunning,inse,difficult,dale,automated,coleman,smog,kincaid,flesch,Conj,Negate,Interrog,Cause,Bio,Health,nonflu,Differ,Money
0,5,p520p521-part2_ch1_256.783789_260.009728_q12_T_T,have you ever gotten into trouble with the police,3.225941043,114.9507794,445.7686397,130.9114841,31.99248481,126.0859204,411.9099731,0.642633229,31.52901557,83.45770467,69.99110944,9.207119809,67.9305809,0.018343238,0.094624205,16.50352094,2.789883597,9,TRUE,520,521,521,Male,Mandarin,-0.1144,0.4905,0.5022,-0.1188,-0.4278,0.0067,-0.0833,0.6147,-0.1573,1.5457,0.8655,-0.4071,0.9713,-0.9489,0.0206,0.9115,0.0407,9,0.111111111,5.84,96.18,1,1,125.7,11,8.04,4.5,1,5.84,5.6,8.03,0,2.1,96.18,0.111111111,0.111111111,0,0,0.111111111,0.111111111,0.111111111,0,0
1,7,p260p261-part2_ch1_183.437120_184.388210_q1_T_F,fujin province,0.951088435,86.73357264,130.3771201,107.5521303,13.37705981,104.4721436,195.2421084,0.619565217,34.46586002,69.89005406,61.93419271,6.437619637,57.87623952,0.024049282,0.114409959,12.06157626,2.102853873,2,FALSE,260,261,261,Male,Mandarin,-0.7265,-0.1865,-1.3025,-0.5734,-0.9635,-0.402,-0.5812,0.4945,0.1358,-0.5625,-0.5735,-1.1202,-0.1092,-0.5258,0.6293,-0.158,-0.5374,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
2,9,p240p241-part1_ch2_1305.841920_1312.541890_q14_F_T,and uh uh what is the most you have ever spent on a pair of shoes,6.699977324,69.17760566,588.5664769,155.9804414,43.70213081,153.0235877,341.7051096,0.40990991,33.06839812,75.47784437,65.04565956,12.29950299,57.26876375,0.018594207,0.090765578,10.73808625,2.388067784,16,TRUE,240,241,240,Female,Mandarin,0.9233,-1.095,0.9854,-1.0266,-0.2966,-0.9614,-0.5171,-0.8959,-0.0303,0.266,-0.1164,0.3972,-0.3554,-0.233,0.5606,-1.1048,-0.2657,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
3,11,p504p505-part1_ch2_67.921080_69.621080_q3_F_T,and are you familiar with this,1.7,199.8362665,531.8824664,245.0901474,37.56581112,234.0173381,673.1519344,0.706586826,47.86040617,81.71053089,75.60639349,9.468077964,75.09782128,0.010934358,0.047780783,21.62002461,3.529411765,6,TRUE,504,505,504,Female,Mandarin,-0.4219,2.0397,0.6611,0.7077,-0.4731,0.5699,0.2446,0.6505,1.446,1.2345,1.7697,-0.3319,1.5606,-0.801,-0.7618,1.5151,0.6947,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-2.2,-22.21,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
4,15,p306p307-part1_ch2_242.160950_246.900950_q1_F_T,um new york city so which area manhattan or,4.74,74.8613142,231.5595724,154.1618685,37.71864715,167.0336155,259.0868971,0.588110403,20.52192482,67.51345505,60.97718135,15.94345731,59.39560684,0.015457261,0.059058057,16.32985653,1.898734177,9,TRUE,306,307,306,Female,Mandarin,0.396,-0.9586,-1.0574,-1.0619,-0.4687,-0.6966,-0.7069,0.033,-1.2825,-0.9715,-0.843,1.3356,-0.1268,-0.4656,-0.4149,0.2415,-0.6774,29,0.068965517,6.16,84.34,1,1,111.3,33,12.98,15.5,2,6.16,10,3.32,0,8.7,84.34,0.034482759,0.034482759,0.137931034,0.034482759,0,0,0,0,0
5,16,p494p495-part1_ch2_560.468800_561.243050_q11_F_F,uh why not,0.774240363,104.2968828,159.3705553,131.8579264,13.15708347,132.4274745,209.6175857,0.702702703,38.63272729,68.58384624,64.17741108,7.869362874,63.3303204,0.01920612,0.05578863,16.72149275,3.874765698,3,FALSE,494,495,494,Male,Mandarin,-0.7741,0.2349,-1.1366,-0.1004,-0.9698,0.1266,-0.5481,0.9278,0.5516,-0.7655,-0.1728,-0.7515,0.477,-0.8849,-1.1741,0.964,0.9536,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-2.2,-22.21,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
6,17,p236p237-part2_ch1_1056.075940_1057.573420_q16_F_F,four hundred dollars,1.497482993,104.2466538,190.4127942,133.0133473,22.80629535,127.8094561,328.1170698,0.595890411,37.4586894,75.70664976,69.27878977,8.591899732,65.53087083,0.02691256,0.093394231,11.68726924,2.00336165,3,FALSE,236,237,237,Male,Mandarin,-0.5795,0.2337,-0.959,-0.0779,-0.6922,0.0392,-0.2758,0.3711,0.4345,0.3413,0.7383,-0.5655,0.7134,-0.3134,-0.0172,-0.2481,-0.6211,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
7,19,p428p429-part2_ch1_291.598870_295.038870_q4_T_T,uh huh where does sh- uh where does uh he work,3.44,81.01734524,343.8143939,219.8327741,62.36670517,231.3493861,397.3572677,0.595307918,23.30916326,71.33296821,64.52019703,13.07039808,61.14893932,0.013791631,0.049711395,15.68387958,3.197674419,11,TRUE,428,429,429,Female,Mandarin,0.0462,-0.8109,-0.4151,0.2161,0.2405,0.5194,-0.3892,0.0705,-1.0044,-0.378,-0.2103,0.5958,0.0616,-0.5891,-0.7024,0.0859,0.4156,8,0,0.4,114.12,0,1,138.7,8,3.2,3,0,0.4,-2.8,-1.5,0,-0.8,114.12,0.125,0,0,0,0,0,0,0.125,0
8,25,p362p363-part1_ch2_1096.380180_1097.210180_q15_F_F,your father why,0.83,98.18405326,150.1514858,132.6870104,13.98126081,137.1881963,303.1884096,0.4875,48.13481814,64.98151225,59.3544411,3.905605048,57.92604841,0.057082553,0.097684667,9.820095085,3.614457831,3,FALSE,362,363,362,Male,Mandarin,-0.7591,0.0882,-1.1894,-0.0842,-0.9461,0.2166,-0.3331,-0.1939,1.5,-1.3252,-1.0342,-1.7722,-0.1038,1.9237,0.1148,-0.6976,0.7345,2,0,0.1,120.21,0,1,144.8,2,0.8,0,0,0.1,-6.4,-13.21,0,-3.1,120.21,0,0,0,0,0,0,0.5,0,0
9,26,p410p411-part1_ch2_2338.999640_2346.845380_q17_T_T,but i think that the effect uh the effects on the screen is very splendid,7.845736961,75.24852426,597.340032,133.6339887,56.35767933,128.269167,428.8748949,0.542893726,31.42653664,86.9567757,75.05655627,13.06643879,69.87015039,0.025781037,0.075365042,13.81094243,1.911866288,15,TRUE,410,411,410,Male,Mandarin,1.1285,-0.462,1.3695,-0.0658,0.2734,0.0479,-0.0443,0.0948,-0.1676,2.0894,1.7702,0.5867,1.1798,-0.3973,-0.5719,0.2632,-0.6981,14,0.066666667,5.46,82.65,1,1,114.6,18,8.46,7.5,1,5.46,3.4,3.65,0,5.2,82.65,0,0,0.133333333,0,0.066666667,0.066666667,0,0,0
